age,annual_income,credit_score,loan_amount,loan_term_months,interest_rate,debt_to_income,employment_length_years,num_open_accounts,num_late_payments_2yrs,home_ownership,purpose,default
59,79000.0,685.0,36100.0,36,11.62,20.4,6.4,5,1,OWN,debt_consolidation,0
48,92900.0,476.0,10900.0,24,16.02,0.0,10.1,7,1,OWN,debt_consolidation,1
34,42000.0,685.0,6400.0,48,9.03,,1.5,4,0,MORTGAGE,major_purchase,0
67,25400.0,620.0,9300.0,36,11.3,19.9,12.9,2,0,RENT,home_improvement,1
24,31300.0,518.0,14000.0,48,12.57,45.3,0.3,8,0,MORTGAGE,debt_consolidation,0
45,90700.0,641.0,38600.0,60,10.62,6.5,3.5,6,0,MORTGAGE,debt_consolidation,0
64,57400.0,642.0,16200.0,36,11.58,54.6,,6,0,RENT,home_improvement,0
65,34500.0,644.0,16400.0,60,12.48,25.6,0.3,6,3,MORTGAGE,credit_card,0
31,44500.0,572.0,14500.0,36,11.96,9.1,1.1,8,1,MORTGAGE,credit_card,0
56,32000.0,657.0,15000.0,60,4.73,28.3,1.2,3,0,RENT,home_improvement,0
46,71700.0,614.0,8000.0,36,13.39,26.1,5.3,5,1,rent,credit_card,0
51,53100.0,749.0,13000.0,60,8.46,32.4,14.2,7,0,MORTGAGE,other,0
41,47700.0,639.0,12200.0,48,9.28,32.3,0.3,4,1,OWN,small_business,0
33,63900.0,,22300.0,36,7.08,26.4,1.4,5,1,MORTGAGE,home_improvement,0
56,47700.0,600.0,16000.0,60,11.65,25.3,3.7,8,3,MORTGAGE,credit_card,0
56,85400.0,605.0,9500.0,48,9.03,36.5,1.6,13,1,rent,home_improvement,0
68,28400.0,672.0,18800.0,60,9.5,35.7,8.2,4,0,RENT,debt_consolidation,0
21,37800.0,610.0,8900.0,36,10.94,29.1,4.0,6,2,RENT,other,0
55,28200.0,649.0,17700.0,60,13.93,35.6,6.3,9,1,MORTGAGE,debt_consolidation,0
28,41900.0,576.0,60300.0,48,11.96,37.4,0.6,7,0,OWN,credit_card,0
31,50100.0,554.0,8900.0,48,12.33,33.5,2.6,12,0,MORTGAGE,small_business,0
57,42900.0,661.0,10400.0,36,8.49,47.7,9.0,6,2,MORTGAGE,small_business,0
43,35200.0,597.0,20000.0,48,13.25,14.6,13.9,4,1,rent,debt_consolidation,0
41,55000.0,646.0,11700.0,48,14.7,37.5,1.7,5,1,rent,major_purchase,0
47,82900.0,682.0,11300.0,84,11.29,30.1,5.6,8,1,RENT,debt_consolidation,0
27,67600.0,661.0,38800.0,48,12.23,52.0,0.9,8,0,RENT,home_improvement,0
46,64500.0,779.0,15900.0,48,7.45,40.1,7.5,5,2,OWN,debt_consolidation,0
43,53100.0,647.0,17600.0,36,8.41,25.2,16.1,6,1,RENT,medical,0
46,77200.0,663.0,19300.0,84,12.88,19.7,8.3,4,2,RENT,credit_card,0
48,28400.0,673.0,16500.0,48,13.75,42.7,2.7,7,0,rent,debt_consolidation,0
56,37000.0,660.0,23800.0,36,7.71,,3.2,4,0,OWN,debt_consolidation,0
65,72400.0,654.0,35800.0,48,10.75,26.7,5.7,6,1,OWN,debt_consolidation,0
27,73800.0,648.0,7800.0,36,11.12,31.3,9.2,8,1,rent,medical,0
59,64900.0,664.0,23700.0,60,8.88,30.5,7.8,6,1,RENT,debt_consolidation,0
63,36500.0,676.0,11700.0,12,9.65,27.7,2.2,5,0,RENT,small_business,0
50,45000.0,674.0,18700.0,36,9.34,39.5,14.8,11,1,OWN,medical,0
40,57200.0,592.0,21600.0,48,9.5,30.4,2.8,7,0,rent,credit_card,1
50,67000.0,700.0,13400.0,36,8.13,37.6,7.8,10,0,MORTGAGE,major_purchase,0
43,67500.0,643.0,7900.0,36,15.37,32.9,1.9,4,3,MORTGAGE,major_purchase,0
43,38300.0,627.0,18700.0,60,9.83,48.2,5.7,1,0,RENT,medical,0
57,48100.0,602.0,23300.0,24,10.12,26.8,4.0,3,0,rent,credit_card,0
29,45500.0,576.0,13800.0,48,10.83,37.8,5.6,4,2,MORTGAGE,major_purchase,0
51,34100.0,666.0,31500.0,36,11.31,54.9,25.3,4,3,MORTGAGE,credit_card,0
22,56500.0,685.0,21500.0,12,13.52,37.4,6.1,10,2,RENT,other,0
48,46500.0,716.0,20100.0,36,8.27,38.2,4.3,12,3,RENT,debt_consolidation,0
58,,567.0,16000.0,24,12.15,37.0,7.2,6,3,rent,debt_consolidation,0
42,34700.0,580.0,24400.0,48,9.05,25.9,0.6,10,0,rent,major_purchase,0
56,45200.0,687.0,15000.0,36,9.07,30.0,7.1,6,0,rent,credit_card,0
21,44100.0,520.0,13100.0,36,16.15,,6.7,8,0,OWN,major_purchase,0
68,49900.0,429.0,11700.0,24,16.64,42.6,15.3,2,0,rent,small_business,1
40,48100.0,760.0,24300.0,24,6.77,35.5,,11,0,rent,debt_consolidation,0
47,29800.0,668.0,25900.0,36,8.15,44.6,6.2,5,1,OWN,debt_consolidation,1
44,32600.0,747.0,18700.0,84,8.07,35.1,0.2,5,0,RENT,debt_consolidation,0
47,67200.0,620.0,9600.0,36,9.98,28.8,1.4,4,2,MORTGAGE,credit_card,0
46,65800.0,686.0,10000.0,36,11.33,27.8,9.9,7,0,MORTGAGE,debt_consolidation,0
36,42700.0,620.0,9400.0,48,9.71,43.0,3.3,4,1,OWN,credit_card,0
39,24700.0,691.0,29400.0,84,8.29,12.8,7.3,5,4,rent,home_improvement,0
66,29300.0,656.0,9300.0,84,13.21,37.6,1.5,8,2,Mortgage,credit_card,0
41,115000.0,657.0,18100.0,36,9.24,42.0,6.0,8,0,MORTGAGE,debt_consolidation,0
39,40200.0,607.0,15200.0,60,13.21,41.3,4.1,4,1,MORTGAGE,debt_consolidation,1
66,27600.0,726.0,11800.0,36,4.59,23.3,1.3,9,1,MORTGAGE,medical,0
52,45600.0,682.0,11000.0,48,9.28,40.7,8.5,6,3,rent,small_business,0
37,50700.0,645.0,4600.0,36,12.05,25.9,0.2,8,1,MORTGAGE,debt_consolidation,0
