order_date,category,city,sales,profit,year,month,day,day_of_week,quarter,is_holiday,category_Clothing,category_Electronics,category_Food,city_Islamabad,city_Karachi,city_Lahore
2025-01-01,Food,Karachi,4954,836,2025,1,1,Wednesday,1,1,0,0,1,0,1,0
2025-01-02,Electronics,Karachi,342,908,2025,1,2,Thursday,1,0,0,1,0,0,1,0
2025-01-03,Food,Islamabad,2690,363,2025,1,3,Friday,1,0,0,0,1,1,0,0
2025-01-04,Food,Karachi,1163,983,2025,1,4,Saturday,1,0,0,0,1,0,1,0
2025-01-05,Electronics,Lahore,4424,159,2025,1,5,Sunday,1,0,0,1,0,0,0,1
2025-01-06,Electronics,Lahore,2695,206,2025,1,6,Monday,1,0,0,1,0,0,0,1
2025-01-07,Food,Lahore,1019,824,2025,1,7,Tuesday,1,0,0,0,1,0,0,1
2025-01-08,Clothing,Islamabad,105,80,2025,1,8,Wednesday,1,0,1,0,0,1,0,0
2025-01-09,Food,Karachi,567,958,2025,1,9,Thursday,1,0,0,0,1,0,1,0
2025-01-10,Food,Lahore,4270,399,2025,1,10,Friday,1,0,0,0,1,0,0,1
2025-01-11,Food,Islamabad,103,729,2025,1,11,Saturday,1,0,0,0,1,1,0,0
2025-01-12,Food,Karachi,745,826,2025,1,12,Sunday,1,0,0,0,1,0,1,0
2025-01-13,Electronics,Islamabad,217,459,2025,1,13,Monday,1,0,0,1,0,1,0,0
2025-01-14,Food,Lahore,3028,338,2025,1,14,Tuesday,1,0,0,0,1,0,0,1
2025-01-15,Clothing,Lahore,2651,321,2025,1,15,Wednesday,1,0,1,0,0,0,0,1
2025-01-16,Electronics,Lahore,4389,363,2025,1,16,Thursday,1,0,0,1,0,0,0,1
2025-01-17,Clothing,Islamabad,946,30,2025,1,17,Friday,1,0,1,0,0,1,0,0
2025-01-18,Clothing,Islamabad,2862,81,2025,1,18,Saturday,1,0,1,0,0,1,0,0
2025-01-19,Clothing,Lahore,1241,864,2025,1,19,Sunday,1,0,1,0,0,0,0,1
2025-01-20,Clothing,Islamabad,1910,245,2025,1,20,Monday,1,0,1,0,0,1,0,0
2025-01-21,Electronics,Lahore,823,172,2025,1,21,Tuesday,1,0,0,1,0,0,0,1
2025-01-22,Electronics,Lahore,324,730,2025,1,22,Wednesday,1,0,0,1,0,0,0,1
2025-01-23,Clothing,Karachi,4727,583,2025,1,23,Thursday,1,0,1,0,0,0,1,0
2025-01-24,Clothing,Islamabad,4308,791,2025,1,24,Friday,1,0,1,0,0,1,0,0
2025-01-25,Electronics,Lahore,4754,590,2025,1,25,Saturday,1,0,0,1,0,0,0,1
